OBJECTID,DOCUMENTNBR,CRASHREPORTLINK,CRASHYR,DISTRICTNBR,NLFID,NLFJURCD,NLFCOUNTYCD,NLFROUTETYPECD,COUNTYLOGNBR,ODOTLATITUDENBR,ODOTLONGITUDENBR,ODOTFIPSCD,SEVERITYBYTYPECD,ODPSTOTALFATALITIESNBR,INCAPACINJURIESNBR,NONINCAPACINJURIESNBR,POSSIBLEINJURIESNBR,NOINJURYREPORTEDNBR,UNRESTRAINOCCUPANTS,NUMBEROFUNITSNBR,CRASHTYPECD,FHWARDWYDEPARTUREIND,ODOTINTERSECTIONRELIND,ODOTCRASHLOCATIONCD,FACILITYTYPECD,AREACD,FUNCTIONALCLASSCD,NHSCD,ODOTDIVUNDIVIND,ODOTLANESNBR,OPERACCESSCONTROLCD,FREEWAYIND,INTERSTATEIND,ODOTMAINTAINEDHWYIND,MAINTENANCEAUTHORITYCD,ODOTCITYVILLAGETWPNME,MONTHOFCRASH,TIMEOFCRASH,DAYINWEEKCD,WEATHERCONDCD,ROADCONDPRIMARYCD,ROADCONDSECONDARYCD,LIGHTCONDPRIMARYCD,ROADCONTOURCD,ODPSALCOHOLIND,ODPSDRUGIND,ODPSSCHOOLZONEIND,ODPSMOTORCYCLEIND,ODPSSPEEDIND,ODPSSENIORDRIVERIND,ODPSWORKZONEIND,ODPSLOCINWORKZONECD,ODPSTYPEOFWORKZONECD,ODOTYOUNGDRIVERIND,DISTRACTEDDRIVERIND,ODPSCITYVILLAGETWPNME,ODPSLOCROADDIRCD,ODPSLOCROADNME,ODPSLOCROADSUFFIXCD,ODPSLOCDIRSUFFIXCD,ODPSLOCROUTEPREFIXCD,ODPSLOCROUTEID,ODPSLOCROUTESUFFIXCD,ODPSREFDIRECTIONCD,ODPSREFGIVEN,ODPSREFSUFFIXCD,ODPSREFDIRSUFFIXCD,ODPSREFROUTEPREFIXCD,ODPSREFROUTEID,ODPSREFROUTESUFFIXCD,ODPSADDRESSREFERENCE,ODPSMILEPOSTREFERENCE,ODPSREFPOINTUSEDCD,LOCALREPORTNUMBERID,U1ATFAULTIND,U1ODPSUNITNBR,U1DIRECTIONFROMCD,U1DIRECTIONTOCD,U1TURNCD,U1TRAFFICCONTROLCD,U1TYPEOFUNITCD,U1SPECIALFUNCTIONCD,U1UNITSPEEDNBR,U1POSTEDSPEEDNBR,U1PRECRASHACTIONCD,U1CONTCIRPRIMARYCD,U1CONTCIRSECONDARYCD,U1OBJECTSTRUCK,U1SEQOFEVENTS1CD,U1SEQOFEVENTS2CD,U1SEQOFEVENTS3CD,U1SEQOFEVENTS4CD,U1SEQOFEVENTS5CD,U1SEQOFEVENTS6CD,U1NONMOTORISTLOCCD,U1AGENBR,U1GENDERCD,U1ALCOHDRUGSUSPCTDCD,U1DISTRACTEDBY1CD,U1DISTRACTEDBY2CD,U2ODPSUNITNBR,U2DIRECTIONFROMCD,U2DIRECTIONTOCD,U2TURNCD,U2TRAFFICCONTROLCD,U2TYPEOFUNITCD,U2SPECIALFUNCTIONCD,U2UNITSPEEDNBR,U2POSTEDSPEEDNBR,U2PRECRASHACTIONCD,U2CONTCIRPRIMARYCD,U2CONTCIRSECONDARYCD,U2SEQOFEVENTS1CD,U2SEQOFEVENTS2CD,U2SEQOFEVENTS3CD,U2SEQOFEVENTS4CD,U2SEQOFEVENTS5CD,U2SEQOFEVENTS6CD,U2NONMOTORISTLOCCD,U2AGENBR,U2GENDERCD,U2ALCOHDRUGSUSPCTDCD,U2DISTRACTEDBY1CD,U2DISTRACTEDBY2CD,U3ODPSUNITNBR,U3TRAFFICCONTROLCD,U3TYPEOFUNITCD,U3SPECIALFUNCTIONCD,U3PRECRASHACTIONCD,U3CONTCIRPRIMARYCD,U3CONTCIRSECONDARYCD,U3SEQOFEVENTS1CD,U3SEQOFEVENTS2CD,U3SEQOFEVENTS3CD,U3SEQOFEVENTS4CD,U3SEQOFEVENTS5CD,U3SEQOFEVENTS6CD,INTERSECTIONIDCURRENT,INTERSECTIONLEGID,INTERCHANGEID,SARAMPID,SASEGMENTID,STATETRUELOGNBR
1822795,20146000813,https://hsip.dot.state.oh.us/report/?docnbr=20146000813,2014,5,CFAICR00054**C,C,FAI,CR,3.71,39.724581,-82.619411,41720,1,0,0,0,0,2,0,2,3,N,N,1,,99999,4, ,U,2,0,N,N,N,80,LANCASTER,1,1550,6,1,3,2,1,1,0,0,0,0,0,0,0,0,0,Y,N,LANCASTER,W,FAIR,AV,,,,,,1134,,,,,,,,3,14-00073,Y,1,3,4,NT,12,3,1,2,35,2,11,,0,20,,,,,,,25,M,1,1,1,2,4,3,NT,12,3,1,,35,11,1,,20,,,,,,,43,M,1,1,1,,,,,,,,,,,,,,,,,,,3.71
1823041,20146001059,https://hsip.dot.state.oh.us/report/?docnbr=20146001059,2014,5,CFAICR00505**C,C,FAI,CR,1.11,39.730097,-82.617869,41720,1,0,0,0,0,2,0,2,19,N,Y,2,,99999,5, ,U,2,0,N,N,N,80,LANCASTER,1,1331,6,1,2,3,1,1,0,0,0,0,0,1,0,0,0,N,N,LANCASTER,N,PIERCE,AV,,,,,,RIVER VALLEY,BL,,,,,,,1,14-00066,Y,1,4,2,RT,4,2,1,0,,5,10,,0,20,,,,,,,83,F,1,1,1,2,4,2,RT,4,2,1,,,5,1,,20,,,,,,,84,M,1,1,1,,,,,,,,,,,,,,,,,,,1.11
1823861,20146001883,https://hsip.dot.state.oh.us/report/?docnbr=20146001883,2014,5,MFAI9999999**C,M,FAI,99,99.99,,,62498,1,0,0,0,0,2,0,2,2,N,Y,1,,99999,0, , ,0,0,N,N,N,80,PICKERINGTON,1,1049,5,6,3,0,1,2,0,0,0,0,0,0,0,0,0,Y,N,PICKERINGTON,,FULLERS,WA,,,,,,REFUGEE,RD,,,,,,,1,00000A-14-0007,Y,1,2,1,NT,4,7,1,10,35,1,9,,0,20,,,,,,,23,M,1,1,1,2,2,1,NT,4,6,1,,35,11,1,,20,,,,,,,33,F,1,1,1,,,,,,,,,,,,,,,,,,,99.99
1826276,20146004308,https://hsip.dot.state.oh.us/report/?docnbr=20146004308,2014,5,CFAICR00504**C,C,FAI,CR,0.73,39.711057,-82.593903,41720,1,0,0,0,0,2,0,2,6,N,Y,2,,99999,7, ,U,4,0,N,N,N,80,LANCASTER,1,715,2,2,1,0,4,1,0,0,0,0,0,0,0,0,0,Y,N,LANCASTER,S,MAPLE,ST,,,,,E,WALNUT,ST,,,,,,,1,14-00326,Y,1,1,2,NT,2,3,1,10,25,1,4,,0,20,,,,,,,20,M,1,1,1,2,3,2,LT,2,7,1,5,25,6,1,,20,,,,,,,29,M,1,1,1,,,,,,,,,,,,,,,,,,,0.73
1824875,20146002902,https://hsip.dot.state.oh.us/report/?docnbr=20146002902,2014,5,CFAICR00502**C,C,FAI,CR,0.64,39.720035,-82.606503,41720,1,0,0,0,0,2,0,2,2,N,Y,1,,99999,4, ,U,4,0,N,N,N,80,LANCASTER,1,939,5,1,2,0,1,2,0,0,0,0,0,1,0,0,0,N,N,LANCASTER,W,SIXTH,AV,,,,,N,MEMORIAL,DR,,,,,,,1,14-00214,Y,1,3,4,NT,4,6,1,5,25,1,9,,0,20,,,,,,,83,M,1,1,1,2,3,4,NT,4,3,1,,25,11,1,,20,,,,,,,28,F,1,1,1,,,,,,,,,,,,,,,,,,,0.64
1822794,20146000812,https://hsip.dot.state.oh.us/report/?docnbr=20146000812,2014,5,CFAICR00054**C,C,FAI,CR,3.71,39.724581,-82.619411,41720,1,0,0,0,0,2,0,2,2,N,N,1,,99999,4, ,U,2,0,N,N,N,80,LANCASTER,1,1550,6,1,3,2,1,1,0,0,0,0,0,0,0,0,0,Y,N,LANCASTER,W,FAIR,AV,,,,,,1134,,,,,,,,3,14-00072,Y,1,4,3,NT,12,3,1,10,35,1,9,,0,20,,,,,,,25,M,1,1,1,2,4,3,NT,12,6,1,,35,11,1,,20,,,,,,,32,F,1,1,1,,,,,,,,,,,,,,,,,,,3.71
1827672,20146005709,https://hsip.dot.state.oh.us/report/?docnbr=20146005709,2014,5,CFAICR00502**C,C,FAI,CR,1.3,39.719742,-82.59437,41720,1,0,0,0,0,2,0,2,2,N,N,1,,99999,4, ,U,4,0,N,N,N,80,LANCASTER,1,946,6,6,3,2,1,1,0,0,0,0,0,1,0,0,0,N,N,LANCASTER,E,6TH AVE,AV,,,,,E,311 E 6TH AVE,,,,,,,,3,1400466,Y,1,3,4,NT,1,7,1,10,35,1,17,,0,20,,,,,,,27,M,1,1,1,2,3,4,NT,1,3,1,2,35,11,1,,20,,,,,,,66,M,1,1,1,,,,,,,,,,,,,,,,,,,1.3
1830545,20146008591,https://hsip.dot.state.oh.us/report/?docnbr=20146008591,2014,5,TFAITR00201**C,T,FAI,TR,0.95,39.739386,-82.639069,41720,1,0,0,0,0,2,0,2,19,N,Y,2,,99999,5, ,U,2,0,N,N,N,80,LANCASTER,1,1839,4,2,1,0,4,1,0,0,0,0,0,0,0,0,0,N,N,LANCASTER,,ETY,RD,,,,,,MICHAELSWAY,DR,,,,,,,1,14-00615,Y,1,3,1,RT,4,7,1,0,35,5,2,,0,20,,,,,,,41,M,1,1,1,2,4,1,LT,4,3,1,15,35,6,1,,20,,,,,,,37,M,1,1,1,,,,,,,,,,,,,,,,,,,0.95
1832406,20146010454,https://hsip.dot.state.oh.us/report/?docnbr=20146010454,2014,5,CFAICR00033A*C,C,FAI,CR,5.9,39.731871,-82.617071,41720,1,0,0,0,0,2,0,2,2,N,N,1,,99999,3, ,U,4,3,N,N,N,80,LANCASTER,1,1814,6,1,1,0,4,1,0,0,0,0,0,0,0,0,0,Y,N,LANCASTER,N,MEMORIAL,DR,,,,,,1738 N. MEMORIAL DR,,,,,,,,3,14-00658,Y,1,6,7,NT,12,7,1,10,35,11,9,,0,20,,,,,,,33,M,1,1,1,2,6,7,NT,12,6,1,20,35,11,1,,20,,,,,,,25,F,1,1,1,,,,,,,,,,,,,,,,,,,5.9
1831211,20146009257,https://hsip.dot.state.oh.us/report/?docnbr=20146009257,2014,5,TFAITR00207**C,T,FAI,TR,4.36,39.881762,-82.778045,62498,1,0,0,0,0,2,0,2,19,N,Y,2,,99999,3, ,U,4,0,N,N,N,80,PICKERINGTON,1,1232,3,6,3,0,1,1,0,0,0,0,0,0,0,0,0,Y,N,PICKERINGTON,,MANCHESTER,DR,,,,,,MANCHESTER DR. N,RD,,,,,,,1,00000A-14-0097,Y,1,1,4,RT,2,4,1,10,25,5,17,,0,20,,,,,,,19,M,1,1,1,2,3,4,NT,1,3,1,20,25,1,1,,20,,,,,,,17,F,1,1,1,,,,,,,,,,,,,,,,,,,4.36
