OBJECTID,DOCUMENT_NBR,CRASH_REPORT_LINK,CRASH_YR,DISTRICT_NBR,NLFID,NLF_JUR_CD,NLF_COUNTY_CD,NLF_ROUTE_TYPE_CD,COUNTY_LOG_NBR,ODOT_LATITUDE_NBR,ODOT_LONGITUDE_NBR,ODOT_FIPS_CD,SEVERITY_BY_TYPE_CD,ODPS_TOTAL_FATALITIES_NBR,INCAPAC_INJURIES_NBR,NON_INCAPAC_INJURIES_NBR,POSSIBLE_INJURIES_NBR,NO_INJURY_REPORTED_NBR,UNRESTRAIN_OCCUPANTS,NUMBER_OF_UNITS_NBR,CRASH_TYPE_CD,FHWA_RDWY_DEPARTURE_IND,ODOT_INTERSECTION_REL_IND,ODOT_CRASH_LOCATION_CD,FACILITY_TYPE_CD,AREA_CD,FUNCTIONAL_CLASS_CD,NHS_CD,ODOT_DIV_UNDIV_IND,ODOT_LANES_NBR,OPER_ACCESS_CONTROL_CD,FREEWAY_IND,INTERSTATE_IND,ODOT_MAINTAINED_HWY_IND,MAINTENANCE_AUTHORITY_CD,ODOT_CITY_VILLAGE_TWP_NME,MONTH_OF_CRASH,TIME_OF_CRASH,DAY_IN_WEEK_CD,WEATHER_COND_CD,ROAD_COND_PRIMARY_CD,ROAD_COND_SECONDARY_CD,LIGHT_COND_PRIMARY_CD,ROAD_CONTOUR_CD,ODPS_ALCOHOL_IND,ODPS_DRUG_IND,ODPS_SCHOOL_ZONE_IND,ODPS_MOTORCYCLE_IND,ODPS_SPEED_IND,ODPS_SENIOR_DRIVER_IND,ODPS_WORK_ZONE_IND,ODPS_LOC_IN_WORK_ZONE_CD,ODPS_TYPE_OF_WORK_ZONE_CD,ODOT_YOUNG_DRIVER_IND,DISTRACTED_DRIVER_IND,ODPS_CITY_VILLAGE_TWP_NME,ODPS_LOC_ROAD_DIR_CD,ODPS_LOC_ROAD_NME,ODPS_LOC_ROAD_SUFFIX_CD,ODPS_LOC_DIR_SUFFIX_CD,ODPS_LOC_ROUTE_PREFIX_CD,ODPS_LOC_ROUTE_ID,ODPS_LOC_ROUTE_SUFFIX_CD,ODPS_REF_DIRECTION_CD,ODPS_REF_GIVEN,ODPS_REF_SUFFIX_CD,ODPS_REF_DIR_SUFFIX_CD,ODPS_REF_ROUTE_PREFIX_CD,ODPS_REF_ROUTE_ID,ODPS_REF_ROUTE_SUFFIX_CD,ODPS_ADDRESS_REFERENCE,ODPS_MILEPOST_REFERENCE,ODPS_REF_POINT_USED_CD,LOCAL_REPORT_NUMBER_ID,U1_AT_FAULT_IND,U1_ODPS_UNIT_NBR,U1_DIRECTION_FROM_CD,U1_DIRECTION_TO_CD,U1_TURN_CD,U1_TRAFFIC_CONTROL_CD,U1_TYPE_OF_UNIT_CD,U1_SPECIAL_FUNCTION_CD,U1_UNIT_SPEED_NBR,U1_POSTED_SPEED_NBR,U1_PRECRASH_ACTION_CD,U1_CONT_CIR_PRIMARY_CD,U1_CONT_CIR_SECONDARY_CD,U1_OBJECT_STRUCK,U1_SEQ_OF_EVENTS_1_CD,U1_SEQ_OF_EVENTS_2_CD,U1_SEQ_OF_EVENTS_3_CD,U1_SEQ_OF_EVENTS_4_CD,U1_SEQ_OF_EVENTS_5_CD,U1_SEQ_OF_EVENTS_6_CD,U1_NON_MOTORIST_LOC_CD,U1_AGE_NBR,U1_GENDER_CD,U1_ALCOH_DRUG_SUSPCTD_CD,U1_DISTRACTED_BY_1_CD,U1_DISTRACTED_BY_2_CD,U2_ODPS_UNIT_NBR,U2_DIRECTION_FROM_CD,U2_DIRECTION_TO_CD,U2_TURN_CD,U2_TRAFFIC_CONTROL_CD,U2_TYPE_OF_UNIT_CD,U2_SPECIAL_FUNCTION_CD,U2_UNIT_SPEED_NBR,U2_POSTED_SPEED_NBR,U2_PRECRASH_ACTION_CD,U2_CONT_CIR_PRIMARY_CD,U2_CONT_CIR_SECONDARY_CD,U2_SEQ_OF_EVENTS_1_CD,U2_SEQ_OF_EVENTS_2_CD,U2_SEQ_OF_EVENTS_3_CD,U2_SEQ_OF_EVENTS_4_CD,U2_SEQ_OF_EVENTS_5_CD,U2_SEQ_OF_EVENTS_6_CD,U2_NON_MOTORIST_LOC_CD,U2_AGE_NBR,U2_GENDER_CD,U2_ALCOH_DRUG_SUSPCTD_CD,U2_DISTRACTED_BY_1_CD,U2_DISTRACTED_BY_2_CD,U3_ODPS_UNIT_NBR,U3_TRAFFIC_CONTROL_CD,U3_TYPE_OF_UNIT_CD,U3_SPECIAL_FUNCTION_CD,U3_PRECRASH_ACTION_CD,U3_CONT_CIR_PRIMARY_CD,U3_CONT_CIR_SECONDARY_CD,U3_SEQ_OF_EVENTS_1_CD,U3_SEQ_OF_EVENTS_2_CD,U3_SEQ_OF_EVENTS_3_CD,U3_SEQ_OF_EVENTS_4_CD,U3_SEQ_OF_EVENTS_5_CD,U3_SEQ_OF_EVENTS_6_CD,INTERSECTION_ID_CURRENT,INTERSECTION_LEG_ID,INTERCHANGE_ID,SA_RAMP_ID,SA_SEGMENT_ID,STATE_TRUE_LOG_NBR
1860131,20146038277.0,https://hsip.dot.state.oh.us/report/?docnbr=20146038277,2014,6,SMADSR00142**C,S,MAD,SR,8.940,39.936652,-83.293844,83580,1,0,0,0,0,2,0,2,5,N,N,1,,99999,5," ",U,2,3,N,N,Y,80,WEST JEFFERSON,4,1636,7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,N,N,WEST JEFFERSON (CORPORATE NAME,,LONDON,RD,,,,,,960,,,,,,,,3,0401614,Y,1,4,3,NT,12,5,1,10,25,4,10,,0,20,,,,,,,28,F,1,1,1,2,4,1,LT,12,3,1,5,25,6,1,,20,,,,,,,53,M,1,1,1,,,,,,,,,,,,,,,,,,,8.940
1993212,20147020514.0,https://hsip.dot.state.oh.us/report/?docnbr=20147020514,2014,6,SMADUS00042**C,S,MAD,US,24.830,40.104386,-83.278743,63030,1,0,0,0,0,3,0,2,6,N,Y,2,,99999,3," ",U,2,3,N,N,Y,80,PLAIN CITY,4,1708,2,4,2,9,1,1,0,0,0,0,0,1,0,0,0,N,N,PLAIN CITY,S,JEFFERSON,AV,,,,,,PERRY,PK,,,,,,,1,14-114-2,Y,1,4,3,NT,2,3,1,10,25,1,2,,0,20,,,,,,,80,F,1,1,1,2,2,1,NT,1,3,1,30,35,1,1,,20,,,,,,,53,F,1,1,1,,,,,,,,,,,,,,,,,,,102.920
1860490,20146038638.0,https://hsip.dot.state.oh.us/report/?docnbr=20146038638,2014,6,MMADMR00132**C,M,MAD,MR,0.080,39.732416,-83.476634,83580,1,0,0,0,0,4,0,2,2,N,Y,3,,99999,0," "," ",0,0,N,N,N,80,WEST JEFFERSON,4,1445,2,4,2,0,1,1,0,0,0,0,0,0,0,0,0,Y,N,WEST JEFFERSON (CORP NAME JEFF,,LILLY CHAPEL,RD,,,,,,CHAPEL,SQ,,,,,,,1,0401714,Y,1,4,3,NT,1,3,1,10,25,1,9,,0,20,,,,,,,16,F,1,1,1,2,4,3,NT,1,3,1,,25,11,1,,20,,,,,,,16,F,1,1,1,,,,,,,,,,,,,,,,,,,999.990
1791245,20144017638.0,https://hsip.dot.state.oh.us/report/?docnbr=20144017638,2014,6,CMADCR00007**C,C,MAD,CR,10.640,40.068870,-83.251454,11234,3,0,0,1,0,1,0,2,18,N,Y,3,,99999,5," ",U,2,0,N,N,N,80,CANAAN TOWNSHIP,4,1618,2,1,1,9,1,1,0,0,0,0,1,0,0,0,0,N,N,CANAAN (TOWNSHIP OF),,PLAIN CITY-GEORGESVILLE,RD,,,,,,AMITY,RD,,,,,,,1,14-0609-04,Y,2,2,9,LT,12,6,1,5,40,6,7,,0,20,,,,,,,48,F,1,1,1,1,2,1,NT,12,6,1,42,40,1,1,,20,,,,,,,32,F,1,1,1,,,,,,,,,,,,,,,,,,,10.640
1788790,20144015177.0,https://hsip.dot.state.oh.us/report/?docnbr=20144015177,2014,6,MMAD9999999**C,M,MAD,99,99.990,,,44674,1,0,0,0,0,2,0,2,18,N,N,1,,99999,0," "," ",0,0,N,N,N,80,LONDON,4,1321,7,1,1,9,1,1,0,0,0,0,0,0,0,0,0,N,N,LONDON,E,LINCOLN,AV,,,,,,000083,,,,,,,,3,04-1949-14,Y,1,7,8,LT,1,3,1,25,25,6,7,2,0,20,,,,,,,44,M,1,1,1,2,5,8,NT,1,1,1,10,25,1,1,,20,,,,,,,40,M,1,1,1,,,,,,,,,,,,,,,,,,,99.990
1790834,20144017226.0,https://hsip.dot.state.oh.us/report/?docnbr=20144017226,2014,6,SMADSR00038**C,S,MAD,SR,13.330,39.884859,-83.446851,44674,1,0,0,0,0,2,1,2,10,N,N,11,,99999,4," ",U,4,3,N,N,N,80,LONDON,4,1530,5,1,1,9,1,1,0,0,0,0,0,0,0,0,0,N,N,LONDON,S,MAIN,ST,,,,,E,FIRST,ST,,,,,,,1,04-2258-14,Y,1,6,7,NT,12,17,1,5,25,1,21,,0,16,,,,,,,41,M,1,1,1,2,5,8,NT,9,20,21,10,,1,1,,20,,,,,,,0,,1,1,1,,,,,,,,,,,,,,,,,,,22.280
2005429,20147032740.0,https://hsip.dot.state.oh.us/report/?docnbr=20147032740,2014,6,MMADMR00177**C,M,MAD,MR,0.250,40.107449,-83.268813,63030,1,0,0,0,0,2,0,2,18,N,Y,1,,99999,0," "," ",0,0,N,N,N,80,PLAIN CITY,6,0819,5,1,1,9,1,1,0,0,0,0,0,1,0,0,0,N,N,PLAIN CITY,W,BIGELOW AVENUE,AV,,,,,,SMITH PLACE,PL,,,,,,,1,14-117-2,Y,1,1,3,LT,1,7,1,2,25,6,2,,0,20,,,,,,,38,M,1,1,1,2,4,3,NT,1,4,1,20,25,1,1,,20,,,,,,,71,F,1,1,1,,,,,,,,,,,,,,,,,,,999.990
1888993,20146067249.0,https://hsip.dot.state.oh.us/report/?docnbr=20146067249,2014,6,SMADUS00042**C,S,MAD,US,6.780,39.887123,-83.447427,44674,1,0,0,0,0,3,0,2,2,N,Y,2,,99999,4,N,U,4,3,N,N,N,80,LONDON,6,1516,7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,Y,N,LONDON,E,HIGH,ST,,,,,N,UNION,ST,,,,,,,1,49-0282-49,Y,2,4,3,NT,4,7,1,25,25,1,9,,0,20,,,,,,,61,M,1,1,1,1,4,3,NT,4,2,1,,25,11,1,,20,,,,,,,23,F,1,1,1,,,,,,,,,,,,,,,,,,,84.870
1797907,20144024312.0,https://hsip.dot.state.oh.us/report/?docnbr=20144024312,2014,6,SMADUS00062**C,S,MAD,US,1.630,39.716292,-83.268335,53046,1,0,0,0,0,6,0,2,2,N,Y,3,,99999,4," ",U,2,3,N,N,Y,80,MOUNT STERLING,6,1128,6,1,1,9,1,1,0,0,0,0,0,0,0,0,0,N,N,MOUNT STERLING,,YANKEETOWN,ST,,,,,,COLUMBUS,ST,,,,,,,1,14-0926-06,Y,1,2,1,NT,2,3,1,5,35,1,4,,0,20,,,,,,,53,F,1,1,1,2,2,1,NT,2,7,1,,35,11,1,,20,,,,,,,54,F,1,1,1,,,,,,,,,,,,,,,,,,,86.490
2003717,20147031028.0,https://hsip.dot.state.oh.us/report/?docnbr=20147031028,2014,6,MMAD9999999**C,M,MAD,99,99.990,,,53046,1,0,0,0,0,3,1,2,3,N,N,1,,99999,0," "," ",0,0,N,N,N,80,MOUNT STERLING,6,1718,5,1,1,9,1,2,0,0,0,0,0,0,0,0,0,Y,N,MOUNT STERLING,,CLIFFVIEW DR,DR,,,,,,000208,,,,,,,,3,14-0837-06,Y,1,1,2,NT,1,4,1,5,25,2,11,,0,20,,,,,,,19,F,1,1,1,2,3,4,NT,1,13,1,20,25,1,1,,20,,,,,,,58,M,1,1,1,,,,,,,,,,,,,,,,,,,99.990
