OBJECTID,DOCUMENT_NBR,CRASH_REPORT_LINK,CRASH_YR,DISTRICT_NBR,NLFID,NLF_JUR_CD,NLF_COUNTY_CD,NLF_ROUTE_TYPE_CD,COUNTY_LOG_NBR,ODOT_LATITUDE_NBR,ODOT_LONGITUDE_NBR,ODOT_FIPS_CD,SEVERITY_BY_TYPE_CD,ODPS_TOTAL_FATALITIES_NBR,INCAPAC_INJURIES_NBR,NON_INCAPAC_INJURIES_NBR,POSSIBLE_INJURIES_NBR,NO_INJURY_REPORTED_NBR,UNRESTRAIN_OCCUPANTS,NUMBER_OF_UNITS_NBR,CRASH_TYPE_CD,FHWA_RDWY_DEPARTURE_IND,ODOT_INTERSECTION_REL_IND,ODOT_CRASH_LOCATION_CD,FACILITY_TYPE_CD,AREA_CD,FUNCTIONAL_CLASS_CD,NHS_CD,ODOT_DIV_UNDIV_IND,ODOT_LANES_NBR,OPER_ACCESS_CONTROL_CD,FREEWAY_IND,INTERSTATE_IND,ODOT_MAINTAINED_HWY_IND,MAINTENANCE_AUTHORITY_CD,ODOT_CITY_VILLAGE_TWP_NME,MONTH_OF_CRASH,TIME_OF_CRASH,DAY_IN_WEEK_CD,WEATHER_COND_CD,ROAD_COND_PRIMARY_CD,ROAD_COND_SECONDARY_CD,LIGHT_COND_PRIMARY_CD,ROAD_CONTOUR_CD,ODPS_ALCOHOL_IND,ODPS_DRUG_IND,ODPS_SCHOOL_ZONE_IND,ODPS_MOTORCYCLE_IND,ODPS_SPEED_IND,ODPS_SENIOR_DRIVER_IND,ODPS_WORK_ZONE_IND,ODPS_LOC_IN_WORK_ZONE_CD,ODPS_TYPE_OF_WORK_ZONE_CD,ODOT_YOUNG_DRIVER_IND,DISTRACTED_DRIVER_IND,ODPS_CITY_VILLAGE_TWP_NME,ODPS_LOC_ROAD_DIR_CD,ODPS_LOC_ROAD_NME,ODPS_LOC_ROAD_SUFFIX_CD,ODPS_LOC_DIR_SUFFIX_CD,ODPS_LOC_ROUTE_PREFIX_CD,ODPS_LOC_ROUTE_ID,ODPS_LOC_ROUTE_SUFFIX_CD,ODPS_REF_DIRECTION_CD,ODPS_REF_GIVEN,ODPS_REF_SUFFIX_CD,ODPS_REF_DIR_SUFFIX_CD,ODPS_REF_ROUTE_PREFIX_CD,ODPS_REF_ROUTE_ID,ODPS_REF_ROUTE_SUFFIX_CD,ODPS_ADDRESS_REFERENCE,ODPS_MILEPOST_REFERENCE,ODPS_REF_POINT_USED_CD,LOCAL_REPORT_NUMBER_ID,U1_AT_FAULT_IND,U1_ODPS_UNIT_NBR,U1_DIRECTION_FROM_CD,U1_DIRECTION_TO_CD,U1_TURN_CD,U1_TRAFFIC_CONTROL_CD,U1_TYPE_OF_UNIT_CD,U1_SPECIAL_FUNCTION_CD,U1_UNIT_SPEED_NBR,U1_POSTED_SPEED_NBR,U1_PRECRASH_ACTION_CD,U1_CONT_CIR_PRIMARY_CD,U1_CONT_CIR_SECONDARY_CD,U1_OBJECT_STRUCK,U1_SEQ_OF_EVENTS_1_CD,U1_SEQ_OF_EVENTS_2_CD,U1_SEQ_OF_EVENTS_3_CD,U1_SEQ_OF_EVENTS_4_CD,U1_SEQ_OF_EVENTS_5_CD,U1_SEQ_OF_EVENTS_6_CD,U1_NON_MOTORIST_LOC_CD,U1_AGE_NBR,U1_GENDER_CD,U1_ALCOH_DRUG_SUSPCTD_CD,U1_DISTRACTED_BY_1_CD,U1_DISTRACTED_BY_2_CD,U2_ODPS_UNIT_NBR,U2_DIRECTION_FROM_CD,U2_DIRECTION_TO_CD,U2_TURN_CD,U2_TRAFFIC_CONTROL_CD,U2_TYPE_OF_UNIT_CD,U2_SPECIAL_FUNCTION_CD,U2_UNIT_SPEED_NBR,U2_POSTED_SPEED_NBR,U2_PRECRASH_ACTION_CD,U2_CONT_CIR_PRIMARY_CD,U2_CONT_CIR_SECONDARY_CD,U2_SEQ_OF_EVENTS_1_CD,U2_SEQ_OF_EVENTS_2_CD,U2_SEQ_OF_EVENTS_3_CD,U2_SEQ_OF_EVENTS_4_CD,U2_SEQ_OF_EVENTS_5_CD,U2_SEQ_OF_EVENTS_6_CD,U2_NON_MOTORIST_LOC_CD,U2_AGE_NBR,U2_GENDER_CD,U2_ALCOH_DRUG_SUSPCTD_CD,U2_DISTRACTED_BY_1_CD,U2_DISTRACTED_BY_2_CD,U3_ODPS_UNIT_NBR,U3_TRAFFIC_CONTROL_CD,U3_TYPE_OF_UNIT_CD,U3_SPECIAL_FUNCTION_CD,U3_PRECRASH_ACTION_CD,U3_CONT_CIR_PRIMARY_CD,U3_CONT_CIR_SECONDARY_CD,U3_SEQ_OF_EVENTS_1_CD,U3_SEQ_OF_EVENTS_2_CD,U3_SEQ_OF_EVENTS_3_CD,U3_SEQ_OF_EVENTS_4_CD,U3_SEQ_OF_EVENTS_5_CD,U3_SEQ_OF_EVENTS_6_CD,INTERSECTION_ID_CURRENT,INTERSECTION_LEG_ID,INTERCHANGE_ID,SA_RAMP_ID,SA_SEGMENT_ID,STATE_TRUE_LOG_NBR
1801674,20144028087,https://hsip.dot.state.oh.us/report/?docnbr=20144028087,2014,6,SPICSR00188**C,S,PIC,SR,0.17,39.604055,-82.943973,15070,1,0,0,0,0,2,0,2,2,N,Y,2,,99999,4, ,U,4,3,N,N,N,80,CIRCLEVILLE,7,1417,6,1,1,9,1,1,0,0,0,0,0,1,0,0,0,N,N,CIRCLEVILLE,N,COURT,ST,,,,,W,HIGH,ST,,,,,,,1,A14754107,Y,1,1,2,NT,4,7,1,10,25,1,9,,0,20,,,,,,,37,F,1,1,1,2,1,2,NT,4,6,1,,25,11,1,,20,,,,,,,76,F,1,1,1,,,,,,,,,,,,,,,,,,,0.17
2017409,20147044722,https://hsip.dot.state.oh.us/report/?docnbr=20147044722,2014,6,CPICCR00512**C,C,PIC,CR,1.32,39.599858,-82.946152,15070,1,0,0,0,0,2,0,2,1,N,Y,2,,99999,4, ,U,4,0,N,N,N,80,CIRCLEVILLE,7,1239,4,1,1,9,1,1,0,0,0,0,0,0,0,0,0,Y,N,CIRCLEVILLE,S,COURT,ST,,,,,E,MOUND,ST,,,,,,,1,A14772907,Y,1,2,9,LT,4,6,1,15,25,6,2,,0,20,,,,,,,50,M,1,1,1,2,2,1,NT,4,5,1,20,25,1,1,,20,,,,,,,25,F,1,1,1,,,,,,,,,,,,,,,,,,,1.32
2013359,20147040672,https://hsip.dot.state.oh.us/report/?docnbr=20147040672,2014,6,TPICTR00092**C,T,PIC,TR,0.5,39.763911,-82.940133,33978,1,0,0,0,0,2,0,2,18,N,Y,2,,99999,7, ,U,2,0,N,N,N,80,HARRISON TOWNSHIP,7,1120,4,1,1,9,1,1,0,0,0,0,0,0,0,0,0,N,N,HARRISON,,MILLER,RD,,,,,,LOCKBOURNE EASTERN,RD,,,,,,,1,AC07140016,Y,1,4,1,LT,2,6,1,15,55,6,2,,0,20,,,,,,,28,M,1,1,1,2,1,2,NT,1,7,1,35,55,1,1,,20,,,,,,,60,M,1,1,1,,,,,,,,,,,,,,,,,,,0.5
2012984,20147040297,https://hsip.dot.state.oh.us/report/?docnbr=20147040297,2014,6,CPICCR00519**C,C,PIC,CR,0.01,39.601552,-82.948202,15070,1,0,0,0,0,2,0,2,1,N,N,1,,99999,7, ,U,4,0,N,N,N,80,CIRCLEVILLE,7,1532,2,1,1,9,1,3,0,0,0,0,0,0,0,0,0,N,N,CIRCLEVILLE,,GOODCHILD SERVICE,RD,,,,,,249101,,,,,,,,3,A14709807,Y,1,2,1,NT,1,6,1,20,25,1,8,,0,20,,,,,,,31,F,1,1,1,2,1,2,NT,1,6,1,20,25,1,1,,20,,,,,,,40,M,1,1,1,,,,,,,,,,,,,,,,,,,0.01
2010573,20147037885,https://hsip.dot.state.oh.us/report/?docnbr=20147037885,2014,6,TPICTR00067**C,T,PIC,TR,2.67,39.601079,-82.858483,81550,1,0,0,0,0,2,0,2,3,N,N,10,,99999,7, ,U,2,0,N,N,N,80,WASHINGTON TOWNSHIP,7,1702,6,2,1,9,1,1,0,0,0,0,0,1,0,0,0,N,N,WASHINGTON,,MORRIS LEIST,RD,,,,,,22370,,,,,,,,3,AC07140037,Y,1,3,4,NT,1,7,1,3,55,2,2,,0,20,,,,,,,69,M,1,1,1,2,2,1,NT,12,7,1,40,55,1,1,,20,,,,,,,70,M,1,1,1,,,,,,,,,,,,,,,,,,,2.67
2027508,20147054825,https://hsip.dot.state.oh.us/report/?docnbr=20147054825,2014,6,MPICMR00105**C,M,PIC,MR,0.16,39.589669,-82.948155,15070,1,0,0,0,0,2,0,2,2,N,Y,2,,99999,0, , ,0,0,N,N,N,80,CIRCLEVILLE,7,1010,6,2,1,9,1,2,0,0,0,0,0,0,0,0,0,N,N,CIRCLEVILLE,,LOGAN,ST,,,,,S,PICKAWAY,ST,,,,,,,1,A14955209,Y,1,4,3,NT,2,6,1,5,25,1,9,,0,20,,,,,,,34,M,1,1,1,2,4,3,NT,2,2,1,5,25,1,1,,20,,,,,,,53,F,1,1,1,,,,,,,,,,,,,,,,,,,999.99
1791065,20144017458,https://hsip.dot.state.oh.us/report/?docnbr=20144017458,2014,6,TPICTR00236**C,T,PIC,TR,1.32,39.603229,-82.941306,15070,1,0,0,0,0,2,0,2,2,N,Y,2,,99999,5, ,U,4,0,N,N,N,80,CIRCLEVILLE,3,930,3,1,1,9,1,2,0,0,0,0,0,1,0,0,0,N,N,CIRCLEVILLE,N,PICKAWAY,ST,,,,,E,HIGH,ST,,,,,,,1,A14382804,Y,1,1,2,NT,4,6,1,20,35,1,9,,0,20,,,,,,,34,M,1,1,1,2,1,2,NT,4,7,1,,35,11,1,,20,,,,,,,83,M,1,1,1,,,,,,,,,,,,,,,,,,,1.32
1785446,20144011829,https://hsip.dot.state.oh.us/report/?docnbr=20144011829,2014,6,CPICCR00016**C,C,PIC,CR,1.29,39.56592,-82.930647,62484,1,0,0,0,0,2,0,2,18,N,Y,1,,99999,5, ,U,2,0,N,N,N,80,PICKAWAY TOWNSHIP,3,1638,2,1,1,9,1,1,0,0,0,0,0,0,0,0,0,Y,N,PICKAWAY,,TARLTON,RD,,,,,,KINGSTON,PI,,,,,,,1,AC03140028,Y,1,2,9,LT,1,7,1,0,,6,2,,0,20,,,,,,,60,M,1,1,1,2,3,4,NT,12,1,1,45,45,1,1,,20,,,,,,,21,F,1,1,1,,,,,,,,,,,,,,,,,,,1.29
1786199,20144012583,https://hsip.dot.state.oh.us/report/?docnbr=20144012583,2014,6,SPICSR00188**C,S,PIC,SR,0.17,39.604055,-82.943973,15070,1,0,0,0,0,2,0,2,6,N,Y,2,,99999,4, ,U,4,3,N,N,N,80,CIRCLEVILLE,3,718,6,1,1,9,2,1,0,0,0,0,0,1,0,0,0,N,N,CIRCLEVILLE,N,COURT,ST,,,,,W,HIGH,ST,,,,,,,1,A14237103,Y,1,2,1,NT,4,4,1,25,25,1,3,,0,20,,,,,,,80,F,1,1,1,2,3,4,NT,4,4,1,20,25,1,1,,20,,,,,,,45,M,1,1,1,,,,,,,,,,,,,,,,,,,0.17
1990767,20147018069,https://hsip.dot.state.oh.us/report/?docnbr=20147018069,2014,6,CPICCR00516**C,C,PIC,CR,0.28,39.604263,-82.928853,15070,1,0,0,0,0,2,0,2,2,N,N,1,,99999,4, ,U,2,0,N,N,N,80,CIRCLEVILLE,3,1517,6,1,1,9,1,1,0,0,0,0,0,0,0,0,0,Y,Y,CIRCLEVILLE,,NICHOLAS,DR,,,,,,244,,,,,,,,3,A14239303,Y,1,2,1,NT,12,3,1,15,35,1,9,,0,20,,,,,,,17,F,1,6,1,2,2,1,NT,12,7,1,10,35,1,1,,20,,,,,,,55,M,1,1,1,,,,,,,,,,,,,,,,,,,0.28
