OBJECTID,DOCUMENT_NBR,CRASH_REPORT_LINK,CRASH_YR,DISTRICT_NBR,NLFID,NLF_JUR_CD,NLF_COUNTY_CD,NLF_ROUTE_TYPE_CD,COUNTY_LOG_NBR,ODOT_LATITUDE_NBR,ODOT_LONGITUDE_NBR,ODOT_FIPS_CD,SEVERITY_BY_TYPE_CD,ODPS_TOTAL_FATALITIES_NBR,INCAPAC_INJURIES_NBR,NON_INCAPAC_INJURIES_NBR,POSSIBLE_INJURIES_NBR,NO_INJURY_REPORTED_NBR,UNRESTRAIN_OCCUPANTS,NUMBER_OF_UNITS_NBR,CRASH_TYPE_CD,FHWA_RDWY_DEPARTURE_IND,ODOT_INTERSECTION_REL_IND,ODOT_CRASH_LOCATION_CD,FACILITY_TYPE_CD,AREA_CD,FUNCTIONAL_CLASS_CD,NHS_CD,ODOT_DIV_UNDIV_IND,ODOT_LANES_NBR,OPER_ACCESS_CONTROL_CD,FREEWAY_IND,INTERSTATE_IND,ODOT_MAINTAINED_HWY_IND,MAINTENANCE_AUTHORITY_CD,ODOT_CITY_VILLAGE_TWP_NME,MONTH_OF_CRASH,TIME_OF_CRASH,DAY_IN_WEEK_CD,WEATHER_COND_CD,ROAD_COND_PRIMARY_CD,ROAD_COND_SECONDARY_CD,LIGHT_COND_PRIMARY_CD,ROAD_CONTOUR_CD,ODPS_ALCOHOL_IND,ODPS_DRUG_IND,ODPS_SCHOOL_ZONE_IND,ODPS_MOTORCYCLE_IND,ODPS_SPEED_IND,ODPS_SENIOR_DRIVER_IND,ODPS_WORK_ZONE_IND,ODPS_LOC_IN_WORK_ZONE_CD,ODPS_TYPE_OF_WORK_ZONE_CD,ODOT_YOUNG_DRIVER_IND,DISTRACTED_DRIVER_IND,ODPS_CITY_VILLAGE_TWP_NME,ODPS_LOC_ROAD_DIR_CD,ODPS_LOC_ROAD_NME,ODPS_LOC_ROAD_SUFFIX_CD,ODPS_LOC_DIR_SUFFIX_CD,ODPS_LOC_ROUTE_PREFIX_CD,ODPS_LOC_ROUTE_ID,ODPS_LOC_ROUTE_SUFFIX_CD,ODPS_REF_DIRECTION_CD,ODPS_REF_GIVEN,ODPS_REF_SUFFIX_CD,ODPS_REF_DIR_SUFFIX_CD,ODPS_REF_ROUTE_PREFIX_CD,ODPS_REF_ROUTE_ID,ODPS_REF_ROUTE_SUFFIX_CD,ODPS_ADDRESS_REFERENCE,ODPS_MILEPOST_REFERENCE,ODPS_REF_POINT_USED_CD,LOCAL_REPORT_NUMBER_ID,U1_AT_FAULT_IND,U1_ODPS_UNIT_NBR,U1_DIRECTION_FROM_CD,U1_DIRECTION_TO_CD,U1_TURN_CD,U1_TRAFFIC_CONTROL_CD,U1_TYPE_OF_UNIT_CD,U1_SPECIAL_FUNCTION_CD,U1_UNIT_SPEED_NBR,U1_POSTED_SPEED_NBR,U1_PRECRASH_ACTION_CD,U1_CONT_CIR_PRIMARY_CD,U1_CONT_CIR_SECONDARY_CD,U1_OBJECT_STRUCK,U1_SEQ_OF_EVENTS_1_CD,U1_SEQ_OF_EVENTS_2_CD,U1_SEQ_OF_EVENTS_3_CD,U1_SEQ_OF_EVENTS_4_CD,U1_SEQ_OF_EVENTS_5_CD,U1_SEQ_OF_EVENTS_6_CD,U1_NON_MOTORIST_LOC_CD,U1_AGE_NBR,U1_GENDER_CD,U1_ALCOH_DRUG_SUSPCTD_CD,U1_DISTRACTED_BY_1_CD,U1_DISTRACTED_BY_2_CD,U2_ODPS_UNIT_NBR,U2_DIRECTION_FROM_CD,U2_DIRECTION_TO_CD,U2_TURN_CD,U2_TRAFFIC_CONTROL_CD,U2_TYPE_OF_UNIT_CD,U2_SPECIAL_FUNCTION_CD,U2_UNIT_SPEED_NBR,U2_POSTED_SPEED_NBR,U2_PRECRASH_ACTION_CD,U2_CONT_CIR_PRIMARY_CD,U2_CONT_CIR_SECONDARY_CD,U2_SEQ_OF_EVENTS_1_CD,U2_SEQ_OF_EVENTS_2_CD,U2_SEQ_OF_EVENTS_3_CD,U2_SEQ_OF_EVENTS_4_CD,U2_SEQ_OF_EVENTS_5_CD,U2_SEQ_OF_EVENTS_6_CD,U2_NON_MOTORIST_LOC_CD,U2_AGE_NBR,U2_GENDER_CD,U2_ALCOH_DRUG_SUSPCTD_CD,U2_DISTRACTED_BY_1_CD,U2_DISTRACTED_BY_2_CD,U3_ODPS_UNIT_NBR,U3_TRAFFIC_CONTROL_CD,U3_TYPE_OF_UNIT_CD,U3_SPECIAL_FUNCTION_CD,U3_PRECRASH_ACTION_CD,U3_CONT_CIR_PRIMARY_CD,U3_CONT_CIR_SECONDARY_CD,U3_SEQ_OF_EVENTS_1_CD,U3_SEQ_OF_EVENTS_2_CD,U3_SEQ_OF_EVENTS_3_CD,U3_SEQ_OF_EVENTS_4_CD,U3_SEQ_OF_EVENTS_5_CD,U3_SEQ_OF_EVENTS_6_CD,INTERSECTION_ID_CURRENT,INTERSECTION_LEG_ID,INTERCHANGE_ID,SA_RAMP_ID,SA_SEGMENT_ID,STATE_TRUE_LOG_NBR
1821034,20144047473.0,https://hsip.dot.state.oh.us/report/?docnbr=20144047473,2014,6,CUNICR00105**C,C,UNI,CR,2.240,40.206576,-83.313268,48160,1,0,0,0,0,2,0,2,6,N,Y,2,,99999,5," ",U,2,0,N,N,N,80,MARYSVILLE,3,1421,2,1,1,9,1,1,0,0,0,0,0,0,0,0,0,N,N,MARYSVILLE,,SCOTTSLAWN,RD,,,,,,INDUSTRIAL,PK,,,,,,,1,14C00105,Y,1,6,7,NT,4,6,1,50,55,1,3,,0,20,,,,,,,47,F,1,1,1,2,2,1,NT,4,17,1,35,50,1,1,,20,,,,,,,58,M,1,1,1,,,,,,,,,,,,,,,,,,,2.240
1985716,20147013014.0,https://hsip.dot.state.oh.us/report/?docnbr=20147013014,2014,6,CUNICR00002**C,C,UNI,CR,1.740,40.134586,-83.179346,22694,1,0,0,0,0,5,0,2,5,N,N,1,,99999,5," ",U,2,0,N,N,N,80,DUBLIN,3,0750,4,1,1,9,1,1,0,0,1,0,1,0,0,0,0,Y,N,DUBLIN,,HYLAND-CROY,RD,,,,,,MITCHELL DEWITT,RD,,,,,,,1,140760,Y,1,1,2,NT,12,3,1,25,20,3,10,,0,20,,,,,,,16,M,1,1,1,2,1,2,NT,12,6,1,20,20,1,1,,20,,,,,,,17,F,1,1,1,,,,,,,,,,,,,,,,,,,1.740
1988198,20147015498.0,https://hsip.dot.state.oh.us/report/?docnbr=20147015498,2014,6,CUNICR00035**C,C,UNI,CR,0.180,40.174433,-83.322904,20170,1,0,0,0,0,2,0,2,3,N,N,1,,99999,7," ",U,2,0,N,N,N,80,DARBY TOWNSHIP,3,1652,6,1,1,9,1,1,0,0,0,0,0,1,0,0,0,N,Y,DARBY,,FLADT,RD,,,,,,015090,,,,,,,,3,80-14-111,Y,2,4,5,LT,12,7,1,5,55,2,2,,0,20,,,,,,,54,M,1,7,1,1,5,8,NT,12,8,1,40,55,1,1,,20,,,,,,,79,M,1,1,1,,,,,,,,,,,,,,,,,,,0.180
1992920,20147020222.0,https://hsip.dot.state.oh.us/report/?docnbr=20147020222,2014,6,CUNICR00088**C,C,UNI,CR,1.860,40.229462,-83.373151,48160,1,0,0,0,0,2,0,2,6,N,Y,2,,99999,5," ",U,2,0,N,N,N,80,MARYSVILLE,3,1430,3,1,1,9,1,1,0,0,0,0,0,0,0,0,0,N,N,MARYSVILLE,,MILFORD,AV,,,,,,STOCKSDALE,DR,,,,,,,1,14C00108,Y,1,5,8,NT,2,2,1,15,25,11,2,,0,20,,,,,,,43,F,1,1,1,2,6,7,NT,1,3,1,15,25,1,1,,20,,,,,,,58,F,1,1,1,,,,,,,,,,,,,,,,,,,1.860
1990252,20147017554.0,https://hsip.dot.state.oh.us/report/?docnbr=20147017554,2014,6,MUNIMR00037**C,M,UNI,MR,0.110,40.237831,-83.349930,48160,1,0,0,0,0,4,0,2,2,N,Y,1,,99999,0," "," ",0,0,N,N,N,80,MARYSVILLE,3,1517,7,2,1,9,1,1,0,0,0,0,0,0,0,0,0,N,N,MARYSVILLE,,COLEMANS CROSSING,BL,,,,,,DELAWARE,AV,,,,,,,1,14C00090,Y,2,2,1,NT,4,2,1,30,35,1,9,,0,20,,,,,,,32,M,1,1,1,1,2,1,NT,4,6,1,,35,11,1,,20,,,,,,,45,M,1,1,1,,,,,,,,,,,,,,,,,,,999.990
1988242,20147015542.0,https://hsip.dot.state.oh.us/report/?docnbr=20147015542,2014,6,SUNISR00161**C,S,UNI,SR,13.230,40.109580,-83.185015,39046,1,0,0,0,0,2,0,2,2,N,Y,5,,99999,3," ",D,4,3,N,N,Y,80,JEROME TOWNSHIP,3,1645,6,1,1,9,1,1,0,0,0,0,0,0,0,0,0,N,N,JEROME,,POST,RD,,,,,,EITERMAN,RD,,,,,,,1,80-14-122,Y,1,3,4,NT,12,3,1,0,45,1,9,,0,20,,,,,,,35,F,1,1,1,2,3,4,NT,12,6,1,,45,11,1,,20,,,,,,,40,M,1,1,1,,,,,,,,,,,,,,,,,,,25.580
1973783,20147001073.0,https://hsip.dot.state.oh.us/report/?docnbr=20147001073,2014,6,CUNICR00105**C,C,UNI,CR,2.620,40.211561,-83.310214,48160,1,0,0,0,0,2,0,2,6,N,N,10,,99999,5," ",U,2,0,N,N,N,80,MARYSVILLE,1,1400,4,2,1,9,1,1,0,0,0,0,0,0,0,0,0,N,N,MARYSVILLE,,SCOTTSLAWN,RD,,,,,,014210,,,,,,,,3,14C00014,Y,1,6,7,NT,2,1,1,3,,1,21,,0,20,,,,,,,45,M,1,1,1,2,8,5,NT,1,6,1,35,45,1,1,,20,,,,,,,31,M,1,1,1,,,,,,,,,,,,,,,,,,,2.620
1974922,20147002212.0,https://hsip.dot.state.oh.us/report/?docnbr=20147002212,2014,6,TUNITR00103**C,T,UNI,TR,0.400,40.235352,-83.349092,48160,1,0,0,0,0,2,0,2,6,N,Y,2,,99999,5," ",U,2,0,N,N,N,80,MARYSVILLE,1,1045,6,1,2,9,1,1,0,0,0,0,0,0,0,0,0,Y,N,MARYSVILLE,E,FIFTH,ST,,,,,,COLEMAN CROSSING,BL,,,,,,,1,14C00006,Y,2,4,3,NT,2,6,1,10,25,1,4,,0,20,,,,,,,56,F,1,1,1,1,2,1,NT,1,4,1,25,25,1,1,,20,,,,,,,18,F,1,1,1,,,,,,,,,,,,,,,,,,,0.400
1974921,20147002211.0,https://hsip.dot.state.oh.us/report/?docnbr=20147002211,2014,6,MUNIMR00051F*C,M,UNI,MR,0.650,40.259458,-83.375545,48160,1,0,0,0,0,2,0,2,5,N,Y,3,,99999,0," "," ",0,0,N,N,N,80,MARYSVILLE,1,1515,5,6,3,9,1,3,0,0,0,0,0,0,0,0,0,Y,N,MARYSVILLE,,MILL,RD,,,,,,COBBLESTONE,WA,,,,,,,1,14C00003,Y,2,4,3,NT,4,6,1,20,25,1,9,,0,20,,,,,,,18,F,1,1,1,1,4,3,NT,4,4,1,,25,11,1,,20,,,,,,,48,M,1,1,1,,,,,,,,,,,,,,,,,,,999.990
1976820,20147004112.0,https://hsip.dot.state.oh.us/report/?docnbr=20147004112,2014,6,MUNIMR00051**C,M,UNI,MR,1.410,40.229407,-83.372696,48160,1,0,0,0,0,2,0,2,2,N,Y,3,,99999,0," "," ",0,0,N,N,N,80,MARYSVILLE,1,1540,2,2,1,9,1,1,0,0,0,0,0,1,0,0,0,Y,N,MARYSVILLE,,STOCKSDALE,DR,,,,,,MILFORD,AV,,,,,,,1,14C00020,Y,1,2,1,NT,2,3,1,3,25,11,9,,0,20,,,,,,,18,M,1,1,1,2,2,1,NT,2,5,1,,25,11,1,,20,,,,,,,76,M,1,1,1,,,,,,,,,,,,,,,,,,,999.990
